l_curve output data of Hansens regtoolbox
The optimal parameter is: 
4.6795
rho eta reg_param
0.52352 0.14327 3712.76178
0.52351 0.14333 3530.08677
0.52352 0.14327 3356.39971
0.52353 0.14324 3191.25840
0.52345 0.14358 3034.24235
0.52353 0.14314 2884.95180
0.52359 0.14292 2743.00662
0.52353 0.14315 2608.04543
0.52348 0.14348 2479.72458
0.52349 0.14343 2357.71736
0.52352 0.14326 2241.71314
0.52350 0.14337 2131.41654
0.52360 0.14282 2026.54675
0.52350 0.14338 1926.83676
0.52351 0.14335 1832.03269
0.52353 0.14324 1741.89316
0.52352 0.14326 1656.18867
0.52353 0.14322 1574.70100
0.52353 0.14323 1497.22269
0.52346 0.14355 1423.55645
0.52353 0.14323 1353.51474
0.52353 0.14322 1286.91921
0.52358 0.14294 1223.60031
0.52353 0.14325 1163.39683
0.52353 0.14323 1106.15547
0.52351 0.14331 1051.73049
0.52353 0.14320 999.98333
0.52352 0.14327 950.78223
0.52352 0.14329 904.00192
0.52353 0.14320 859.52329
0.52351 0.14330 817.23309
0.52352 0.14330 777.02365
0.52357 0.14296 738.79259
0.52338 0.14398 702.44258
0.52339 0.14393 667.88105
0.52352 0.14329 635.02002
0.52354 0.14318 603.77582
0.52353 0.14324 574.06889
0.52352 0.14326 545.82359
0.52352 0.14327 518.96802
0.52354 0.14317 493.43380
0.52351 0.14333 469.15591
0.52353 0.14324 446.07254
0.52355 0.14312 424.12491
0.52351 0.14332 403.25715
0.52351 0.14330 383.41612
0.52354 0.14318 364.55131
0.52364 0.14264 346.61469
0.52352 0.14330 329.56058
0.52348 0.14347 313.34556
0.52348 0.14345 297.92836
0.52356 0.14305 283.26971
0.52340 0.14388 269.33230
0.52352 0.14327 256.08063
0.52360 0.14285 243.48097
0.52352 0.14329 231.50124
0.52357 0.14302 220.11093
0.52353 0.14323 209.28105
0.52355 0.14311 198.98402
0.52353 0.14323 189.19363
0.52352 0.14326 179.88494
0.52352 0.14327 171.03425
0.52357 0.14295 162.61904
0.52356 0.14303 154.61787
0.52351 0.14331 147.01037
0.52352 0.14324 139.77718
0.52341 0.14378 132.89987
0.52352 0.14326 126.36095
0.52351 0.14329 120.14374
0.52339 0.14388 114.23244
0.52357 0.14292 108.61199
0.52359 0.14284 103.26807
0.52361 0.14267 98.18708
0.52355 0.14297 93.35609
0.52355 0.14297 88.76279
0.52353 0.14303 84.39549
0.52350 0.14310 80.24307
0.52354 0.14285 76.29495
0.52355 0.14271 72.54110
0.52351 0.14280 68.97193
0.52353 0.14254 65.57838
0.52359 0.14209 62.35180
0.52371 0.14128 59.28397
0.52366 0.14132 56.36709
0.52365 0.14103 53.59372
0.52385 0.13962 50.95680
0.52389 0.13899 48.44963
0.52397 0.13802 46.06582
0.52411 0.13668 43.79929
0.52418 0.13552 41.64428
0.52436 0.13367 39.59530
0.52451 0.13179 37.64714
0.52466 0.12968 35.79483
0.52495 0.12684 34.03365
0.52563 0.12267 32.35913
0.52602 0.11910 30.76700
0.52655 0.11495 29.25320
0.52776 0.10939 27.81389
0.52857 0.10439 26.44539
0.52996 0.09857 25.14423
0.53149 0.09266 23.90708
0.53312 0.08656 22.73081
0.53535 0.07971 21.61241
0.53782 0.07280 20.54904
0.54007 0.06680 19.53799
0.54308 0.06015 18.57668
0.54639 0.05430 17.66267
0.54902 0.04982 16.79363
0.55213 0.04587 15.96735
0.55471 0.04231 15.18173
0.55789 0.03842 14.43476
0.56089 0.03510 13.72454
0.56391 0.03219 13.04927
0.56691 0.02973 12.40722
0.56936 0.02795 11.79676
0.57203 0.02634 11.21634
0.57442 0.02507 10.66447
0.57687 0.02398 10.13976
0.57933 0.02307 9.64086
0.58166 0.02234 9.16651
0.58403 0.02173 8.71550
0.58643 0.02122 8.28668
0.58904 0.02075 7.87896
0.59181 0.02035 7.49130
0.59478 0.02001 7.12272
0.59799 0.01971 6.77227
0.60143 0.01945 6.43906
0.60526 0.01921 6.12224
0.60957 0.01900 5.82102
0.61456 0.01880 5.53461
0.62010 0.01863 5.26230
0.62657 0.01846 5.00338
0.63418 0.01830 4.75721
0.64326 0.01815 4.52314
0.65445 0.01799 4.30060
0.66850 0.01783 4.08900
0.68627 0.01767 3.88781
0.70888 0.01750 3.69652
0.73753 0.01732 3.51465
0.77339 0.01713 3.34172
0.81764 0.01694 3.17730
0.87147 0.01673 3.02097
0.93590 0.01652 2.87233
1.01221 0.01631 2.73101
1.10211 0.01608 2.59664
1.20769 0.01586 2.46888
1.33199 0.01562 2.34741
1.47892 0.01537 2.23191
1.65399 0.01510 2.12209
1.86215 0.01481 2.01768
2.11006 0.01449 1.91841
2.40351 0.01415 1.82402
2.74862 0.01377 1.73427
3.15036 0.01336 1.64895
3.61331 0.01291 1.56781
4.14081 0.01244 1.49067
4.73516 0.01193 1.41733
5.39739 0.01139 1.34760
6.12748 0.01083 1.28129
6.92403 0.01025 1.21825
7.78458 0.00966 1.15831
8.70552 0.00906 1.10132
9.68226 0.00846 1.04713
10.70927 0.00786 0.99561
11.78029 0.00728 0.94662
12.88830 0.00670 0.90005
14.02563 0.00615 0.85576
15.18436 0.00562 0.81366
16.35650 0.00511 0.77363
17.53419 0.00463 0.73556
18.70977 0.00419 0.69937
19.87546 0.00378 0.66496
21.02320 0.00339 0.63224
22.14473 0.00305 0.60114
23.23249 0.00274 0.57156
24.28110 0.00246 0.54344
25.28913 0.00221 0.51670
26.26064 0.00199 0.49128
27.20548 0.00180 0.46710
28.13841 0.00162 0.44412
